symbol,date,actual_eps,estimated_eps,surprise_pct,revenue,revenue_estimated,fmp_updated,query_timestamp
NKE,2026-03-31,0.35,0.29,20.69,11279000000,11226380000,2026-04-01,2026-04-01T20:51:24.645274
NKE,2026-03-31,0.35,0.29,20.69,11279000000,11226380000,2026-04-01,2026-04-01T20:55:46.562906
NKE,2026-03-31,0.35,0.29,20.69,11279000000,11226380000,2026-04-01,2026-04-01T20:55:57.376214
NKE,2026-03-31,0.35,0.29,20.69,11279000000,11226380000,2026-04-01,2026-04-01T20:56:11.165986
NKE,2026-03-31,0.35,0.29,20.69,11279000000,11226380000,2026-04-01,2026-04-01T20:56:13.539674
NKE,2026-03-31,0.35,0.29,20.69,11279000000,11226380000,2026-04-01,2026-04-01T20:56:23.257199
NKE,2026-03-31,0.35,0.29,20.69,11279000000,11226380000,2026-04-01,2026-04-01T20:56:35.511192
